phenomenonTime,Q_m³/s
2022-10-11T00:00:00Z,0.6980833333333333
2022-10-12T00:00:00Z,0.6845416666666667
2022-10-13T00:00:00Z,0.6850833333333334
2022-10-14T00:00:00Z,0.697
2022-10-15T00:00:00Z,0.7089166666666666
2022-10-16T00:00:00Z,0.6997083333333334
2022-10-17T00:00:00Z,0.6850833333333334
2022-10-18T00:00:00Z,0.8405104166666667
2022-10-19T00:00:00Z,1.0135416666666666
2022-10-20T00:00:00Z,0.744625
2022-10-21T00:00:00Z,0.752625
2022-10-22T00:00:00Z,0.74075
2022-10-23T00:00:00Z,0.7379895833333333
2022-10-24T00:00:00Z,0.9377395833333333
2022-10-25T00:00:00Z,0.8518333333333333
2022-10-26T00:00:00Z,0.76390625
2022-10-27T00:00:00Z,0.736
2022-10-28T00:00:00Z,0.736
2022-10-29T00:00:00Z,0.736
2022-10-30T00:00:00Z,0.736
2022-10-31T00:00:00Z,0.736
2022-11-01T00:00:00Z,0.684
2022-11-02T00:00:00Z,0.684
2022-11-03T00:00:00Z,0.684
2022-11-04T00:00:00Z,0.684
2022-11-05T00:00:00Z,0.684
2022-11-06T00:00:00Z,0.684
2022-11-07T00:00:00Z,0.684
2022-11-08T00:00:00Z,0.6467395833333334
2022-11-09T00:00:00Z,0.635
2022-11-10T00:00:00Z,0.635
2022-11-11T00:00:00Z,0.635
2022-11-12T00:00:00Z,0.635
2022-11-13T00:00:00Z,0.635
2022-11-14T00:00:00Z,0.635
2022-11-15T00:00:00Z,0.635
2022-11-16T00:00:00Z,0.64571875
2022-11-17T00:00:00Z,0.8201875
2022-11-18T00:00:00Z,0.98921875
2022-11-19T00:00:00Z,0.8382083333333333
2022-11-20T00:00:00Z,0.7835
2022-11-21T00:00:00Z,0.736
2022-11-22T00:00:00Z,0.736
2022-11-23T00:00:00Z,0.736
2022-11-24T00:00:00Z,0.736
2022-11-25T00:00:00Z,0.736
2022-11-26T00:00:00Z,0.736
2022-11-27T00:00:00Z,0.736
2022-11-28T00:00:00Z,0.736
2022-11-29T00:00:00Z,0.736
2022-11-30T00:00:00Z,0.736
2022-12-01T00:00:00Z,0.6894166666666667
2022-12-02T00:00:00Z,0.7094583333333333
2022-12-03T00:00:00Z,0.736
2022-12-04T00:00:00Z,0.736
2022-12-05T00:00:00Z,0.736
2022-12-06T00:00:00Z,0.75203125
2022-12-07T00:00:00Z,0.793
2022-12-08T00:00:00Z,0.793
2022-12-09T00:00:00Z,0.8143125
2022-12-10T00:00:00Z,0.8491875
2022-12-11T00:00:00Z,0.793
2022-12-12T00:00:00Z,0.793
2022-12-13T00:00:00Z,0.7750104166666667
2022-12-14T00:00:00Z,0.736
2022-12-15T00:00:00Z,0.6932083333333333
2022-12-16T00:00:00Z,0.684
2022-12-17T00:00:00Z,0.684
2022-12-18T00:00:00Z,0.6651145833333333
2022-12-19T00:00:00Z,0.7089166666666666
2022-12-20T00:00:00Z,0.736
2022-12-21T00:00:00Z,0.76034375
2022-12-22T00:00:00Z,0.8885416666666667
2022-12-23T00:00:00Z,1.1593229166666668
2022-12-24T00:00:00Z,1.7170833333333333
2022-12-25T00:00:00Z,1.7009375
2022-12-26T00:00:00Z,1.73625
2022-12-27T00:00:00Z,1.738125
2022-12-28T00:00:00Z,1.43
2022-12-29T00:00:00Z,1.42875
2022-12-30T00:00:00Z,1.31
2022-12-31T00:00:00Z,1.2309375
2023-01-01T00:00:00Z,1.2
2023-01-02T00:00:00Z,1.0957291666666666
2023-01-03T00:00:00Z,1.124375
2023-01-04T00:00:00Z,1.1140625
2023-01-05T00:00:00Z,1.2836458333333334
2023-01-06T00:00:00Z,1.4540625
2023-01-07T00:00:00Z,1.56
2023-01-08T00:00:00Z,1.5342708333333333
2023-01-09T00:00:00Z,1.61375
2023-01-10T00:00:00Z,1.64
2023-01-11T00:00:00Z,1.56
2023-01-12T00:00:00Z,1.7475
2023-01-13T00:00:00Z,1.8
2023-01-14T00:00:00Z,1.8413541666666666
2023-01-15T00:00:00Z,2.7885416666666667
2023-01-16T00:00:00Z,2.8728125
2023-01-17T00:00:00Z,2.3870833333333334
2023-01-18T00:00:00Z,2.1616666666666666
2023-01-19T00:00:00Z,2.05
2023-01-20T00:00:00Z,2.0107291666666667
2023-01-21T00:00:00Z,1.86125
2023-01-22T00:00:00Z,1.8
2023-01-23T00:00:00Z,1.77625
2023-01-24T00:00:00Z,1.56
2023-01-25T00:00:00Z,1.56
2023-01-26T00:00:00Z,1.4652083333333332
2023-01-27T00:00:00Z,1.43
2023-01-28T00:00:00Z,1.43
2023-01-29T00:00:00Z,1.42875
2023-01-30T00:00:00Z,1.4109375
2023-01-31T00:00:00Z,1.75
2023-02-01T00:00:00Z,1.8363541666666667
2023-02-02T00:00:00Z,2.05
2023-02-03T00:00:00Z,2.610625
2023-02-04T00:00:00Z,3.6480208333333333
2023-02-05T00:00:00Z,3.1289583333333333
2023-02-06T00:00:00Z,2.6363541666666666
2023-02-07T00:00:00Z,2.5990625
2023-02-08T00:00:00Z,2.1957291666666667
2023-02-09T00:00:00Z,1.9403125
2023-02-10T00:00:00Z,1.8425
2023-02-11T00:00:00Z,1.7975
2023-02-12T00:00:00Z,1.78
2023-02-13T00:00:00Z,1.725
2023-02-14T00:00:00Z,1.68
2023-02-15T00:00:00Z,1.6725
2023-02-16T00:00:00Z,1.68
2023-02-17T00:00:00Z,1.68
2023-02-18T00:00:00Z,1.68
2023-02-19T00:00:00Z,2.4859375
2023-02-20T00:00:00Z,4.06125
2023-02-21T00:00:00Z,3.2720833333333332
2023-02-22T00:00:00Z,2.84
2023-02-23T00:00:00Z,2.7944791666666666
2023-02-24T00:00:00Z,2.47875
2023-02-25T00:00:00Z,2.7984375
